id,scene,lum,white,black,flags,secs,traits
21,sombrero,0.17967916666666667,0.021897569444444445,0.22856944444444444,,14,"{""Token"": ""#21 of 100"", ""Family"": ""Sombrero"", ""Temperament"": ""patient"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""sunset"", ""Channel"": ""density"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""on""}"
22,cartwheel,0.37875535130718957,0.06224479166666667,0.034277777777777775,,34,"{""Token"": ""#22 of 100"", ""Family"": ""Cartwheel"", ""Temperament"": ""restless"", ""Signature"": ""chase"", ""Variant"": ""\u2014"", ""Palette"": ""ice"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""on""}"
23,quiet-drift,0.5292283088235293,0.007140625,0.0,,16,"{""Token"": ""#23 of 100"", ""Family"": ""Quiet Drift"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""aurora"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
24,sombrero,0.17637542211328974,0.015890625,0.22619791666666667,,15,"{""Token"": ""#24 of 100"", ""Family"": ""Sombrero"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""sunset"", ""Channel"": ""density"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
25,virgo-m87,0.11962622549019608,0.002111111111111111,0.27774131944444447,,9,"{""Token"": ""#25 of 100"", ""Family"": ""Virgo \u00b7 M87"", ""Temperament"": ""contemplative"", ""Signature"": ""vertigo"", ""Variant"": ""\u2014"", ""Palette"": ""nebula"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
26,bullet-cluster,0.14455821759259257,0.0032222222222222222,0.2682100694444444,,17,"{""Token"": ""#26 of 100"", ""Family"": ""Bullet Cluster"", ""Temperament"": ""restless"", ""Signature"": ""chase"", ""Variant"": ""\u2014"", ""Palette"": ""aurora"", ""Channel"": ""kind"", ""Exposure"": ""short"", ""Spin"": ""retrograde"", ""Doppler"": ""off""}"
27,orrery,0.022665100762527233,0.00018055555555555555,0.9386649305555556,,14,"{""Token"": ""#27 of 100"", ""Family"": ""Orrery"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""mono"", ""Channel"": ""kind"", ""Exposure"": ""long"", ""Spin"": ""none"", ""Doppler"": ""off""}"
28,coma,0.04668875272331154,0.00019618055555555556,0.5287100694444444,,13,"{""Token"": ""#28 of 100"", ""Family"": ""Coma Cluster"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""vaporwv"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
29,stephans-quintet,0.09070648828976036,0.005246527777777778,0.4045815972222222,,18,"{""Token"": ""#29 of 100"", ""Family"": ""Stephan's Quintet"", ""Temperament"": ""patient"", ""Signature"": ""chase"", ""Variant"": ""\u2014"", ""Palette"": ""bone"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
30,lattice,0.04244961192810457,0.0,0.5123576388888889,,21,"{""Token"": ""#30 of 100"", ""Family"": ""Lattice"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""vaporwv"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
31,collision,0.20198437500000002,0.01025173611111111,0.15768055555555555,,17,"{""Token"": ""#31 of 100"", ""Family"": ""Collision"", ""Temperament"": ""contemplative"", ""Signature"": ""chase"", ""Variant"": ""Polar passage"", ""Palette"": ""nebula"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""on""}"
32,milky-way,0.2166141203703704,0.0007413194444444444,0.12908159722222223,,16,"{""Token"": ""#32 of 100"", ""Family"": ""Milky Way"", ""Temperament"": ""restless"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""mass"", ""Exposure"": ""long"", ""Spin"": ""none"", ""Doppler"": ""off""}"
33,event-horizon,0.35411921296296295,0.06714756944444444,0.06430729166666667,,9,"{""Token"": ""#33 of 100"", ""Family"": ""Event Horizon"", ""Temperament"": ""patient"", ""Signature"": ""vertigo"", ""Variant"": ""\u2014"", ""Palette"": ""vaporwv"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""on""}"
34,milky-way,0.260357788671024,0.0014427083333333334,0.10094444444444445,,12,"{""Token"": ""#34 of 100"", ""Family"": ""Milky Way"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""mass"", ""Exposure"": ""long"", ""Spin"": ""none"", ""Doppler"": ""off""}"
35,dust-storm,0.08980775462962963,0.0026180555555555558,0.4190763888888889,,13,"{""Token"": ""#35 of 100"", ""Family"": ""Dust Storm"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""density"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
36,collision,0.19370910266884533,0.010201388888888888,0.1539375,,15,"{""Token"": ""#36 of 100"", ""Family"": ""Collision"", ""Temperament"": ""restless"", ""Signature"": ""chase"", ""Variant"": ""Antennae (prograde)"", ""Palette"": ""ice"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""on""}"
37,sombrero,0.15125777505446625,0.014961805555555556,0.3013576388888889,,13,"{""Token"": ""#37 of 100"", ""Family"": ""Sombrero"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ice"", ""Channel"": ""density"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
